Date,Close/Last,Volume,Open,High,Low,Assets,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Other Short Term Assets,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Liabilities,Payables & Accruals,Short Term Debt,Other Short Term Liabilities,Total Current Liabilities,Long Term Debt,Other Long Term Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital & Additional Paid-In Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority Interest,Total Equity,Total Liabilities & Equity
2021-04-16,138.21,6583895,137.62,139.005,136.65,,12170.747252747253,4015.802197802198,2571.120879120879,788.2307692307693,19545.9010989011,4058.21978021978,35.0,13823.615384615385,17881.835164835164,37427.73626373626,,3572.065934065934,500.0,5125.714285714285,9197.78021978022,15231.65934065934,5611.043956043956,20842.703296703297,30040.483516483517,0.0,113.0,7001.857142857143,291.02197802197804,7387.252747252747,-11.0,7387.252747252747,37427.73626373626
2021-04-19,135.25,8728948,136.9,137.05,134.085,,12145.296703296703,3989.3626373626375,2574.945054945055,787.0769230769231,19496.68131868132,4063.263736263736,35.0,13857.538461538461,17920.802197802197,37417.48351648352,,3570.879120879121,500.0,5121.857142857143,9192.736263736264,15231.791208791208,5604.252747252747,20836.043956043955,30028.78021978022,0.0,113.0,7007.428571428572,290.6263736263736,7388.7032967032965,-11.0,7388.7032967032965,37417.48351648352
2021-04-20,133.4,7473703,134.55,134.78,132.79,,12136.813186813186,3980.5494505494507,2576.21978021978,786.6923076923077,19480.274725274725,4064.945054945055,35.0,13868.846153846154,17933.79120879121,37414.06593406593,,3570.4835164835163,500.0,5120.571428571428,9191.054945054944,15231.835164835165,5601.989010989011,20833.824175824175,30024.879120879123,0.0,113.0,7009.285714285715,290.4945054945055,7389.186813186813,-11.0,7389.186813186813,37414.06593406593
2021-04-21,136.19,7237924,132.82,136.365,132.5,,12128.329670329671,3971.736263736264,2577.4945054945056,786.3076923076923,19463.86813186813,4066.6263736263736,35.0,13880.153846153846,17946.78021978022,37410.64835164835,,3570.087912087912,500.0,5119.285714285715,9189.373626373626,15231.87912087912,5599.725274725275,20831.604395604394,30020.978021978022,0.0,113.0,7011.142857142857,290.3626373626374,7389.67032967033,-11.0,7389.67032967033,37410.64835164835
2021-04-22,132.97,8345144,135.37,135.96,132.47,,12119.846153846154,3962.923076923077,2578.769230769231,785.9230769230769,19447.46153846154,4068.3076923076924,35.0,13891.461538461539,17959.76923076923,37407.230769230766,,3569.6923076923076,500.0,5118.0,9187.692307692309,15231.923076923076,5597.461538461538,20829.384615384617,30017.076923076922,0.0,113.0,7013.0,290.2307692307692,7390.153846153846,-11.0,7390.153846153846,37407.230769230766
2021-04-23,135.43,7669057,133.74,136.1064,133.535,,12111.362637362638,3954.1098901098903,2580.043956043956,785.5384615384615,19431.054945054944,4069.989010989011,35.0,13902.76923076923,17972.75824175824,37403.81318681319,,3569.296703296703,500.0,5116.714285714285,9186.010989010989,15231.967032967033,5595.197802197802,20827.164835164836,30013.175824175825,0.0,113.0,7014.857142857143,290.0989010989011,7390.6373626373625,-11.0,7390.6373626373625,37403.81318681319
2021-04-26,138.96,9715383,135.33,139.69,135.12,,12085.912087912087,3927.6703296703295,2583.868131868132,784.3846153846154,19381.835164835164,4075.032967032967,35.0,13936.692307692309,18011.725274725275,37393.56043956044,,3568.1098901098903,500.0,5112.857142857143,9180.967032967033,15232.098901098901,5588.406593406594,20820.505494505494,30001.472527472528,0.0,113.0,7020.428571428572,289.7032967032967,7392.087912087912,-11.0,7392.087912087912,37393.56043956044
2021-04-27,138.01,9284499,138.71,139.38,136.98,,12077.42857142857,3918.8571428571427,2585.1428571428573,784.0,19365.428571428572,4076.714285714286,35.0,13948.0,18024.714285714286,37390.142857142855,,3567.714285714286,500.0,5111.571428571428,9179.285714285714,15232.142857142857,5586.142857142857,20818.285714285714,29997.571428571428,0.0,113.0,7022.285714285715,289.57142857142856,7392.571428571428,-11.0,7392.571428571428,37390.142857142855
2021-04-28,136.57,13118140,138.17,138.2731,135.75,,12068.945054945056,3910.043956043956,2586.4175824175823,783.6153846153846,19349.021978021978,4078.3956043956046,35.0,13959.307692307691,18037.703296703297,37386.72527472527,,3567.3186813186812,500.0,5110.285714285715,9177.604395604396,15232.186813186812,5583.879120879121,20816.065934065933,29993.67032967033,0.0,113.0,7024.142857142857,289.43956043956047,7393.054945054945,-11.0,7393.054945054945,37386.72527472527
2021-04-29,142.68,20502140,145.01,145.2965,140.67,,12060.461538461539,3901.230769230769,2587.6923076923076,783.2307692307693,19332.615384615383,4080.076923076923,35.0,13970.615384615385,18050.69230769231,37383.307692307695,,3566.923076923077,500.0,5109.0,9175.923076923076,15232.23076923077,5581.615384615385,20813.846153846152,29989.76923076923,0.0,113.0,7026.0,289.3076923076923,7393.538461538462,-11.0,7393.538461538462,37383.307692307695
