Date,Close/Last,Volume,Open,High,Low,Revenue,Cost of revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, net",Income (Loss) Including Minority Interest,Minority Interest,Net Income Available to Common Shareholders
2021-06-03,131.78,6643997,132.65,133.39,131.42,8027.307692307692,-3449.5384615384614,4577.7692307692305,-2301.0,2276.769230769231,-1.6153846153846132,2275.153846153846,-299.9230769230769,1975.2307692307693,0.0,1975.2307692307693
2021-06-04,134.34,7416675,132.525,135.05,132.2,8024.010989010989,-3448.912087912088,4575.0989010989015,-2302.285714285714,2272.813186813187,-2.879120879120876,2269.934065934066,-302.31868131868134,1967.6153846153848,0.0,1967.6153846153848
2021-06-07,133.32,5563253,133.7,133.77,132.64,8014.120879120879,-3447.032967032967,4567.087912087912,-2306.1428571428573,2260.945054945055,-6.670329670329664,2254.2747252747254,-309.50549450549454,1944.7692307692307,0.0,1944.7692307692307
2021-06-08,134.2,9657889,134.06,135.3895,133.0,8010.824175824176,-3446.4065934065934,4564.417582417583,-2307.4285714285716,2256.989010989011,-7.934065934065927,2249.054945054945,-311.90109890109886,1937.1538461538462,0.0,1937.1538461538462
2021-06-09,132.89,6717243,135.105,135.35,132.79,8007.527472527472,-3445.78021978022,4561.747252747253,-2308.714285714286,2253.032967032967,-9.19780219780219,2243.835164835165,-314.2967032967033,1929.5384615384614,0.0,1929.5384615384614
2021-06-10,134.22,5522273,133.05,135.1,132.58,8004.2307692307695,-3445.153846153846,4559.076923076923,-2310.0,2249.076923076923,-10.461538461538453,2238.6153846153848,-316.6923076923077,1921.923076923077,0.0,1921.923076923077
2021-06-11,134.62,6529894,133.8,134.65,133.65,8000.934065934066,-3444.5274725274726,4556.406593406594,-2311.285714285714,2245.120879120879,-11.725274725274716,2233.3956043956046,-319.08791208791206,1914.3076923076924,0.0,1914.3076923076924
2021-06-14,137.31,7912621,135.195,137.31,134.7869,7991.043956043956,-3442.6483516483518,4548.395604395604,-2315.1428571428573,2233.252747252747,-15.516483516483518,2217.736263736264,-326.27472527472526,1891.4615384615386,0.0,1891.4615384615386
2021-06-15,135.58,5723574,137.14,137.38,135.23,7987.747252747253,-3442.021978021978,4545.725274725275,-2316.4285714285716,2229.2967032967035,-16.78021978021978,2212.5164835164833,-328.6703296703297,1883.8461538461538,0.0,1883.8461538461538
2021-06-16,134.95,7404737,136.47,137.05,133.66,7984.450549450549,-3441.3956043956046,4543.054945054945,-2317.714285714286,2225.3406593406594,-18.043956043956044,2207.2967032967035,-331.0659340659341,1876.2307692307693,0.0,1876.2307692307693
