Date,Close/Last,Volume,Open,High,Low
04/09/2021,$129.03,2388312,$130.53,$130.53,$128.18
04/08/2021,$130.11,2422809,$130.88,$130.9063,$129.61
04/07/2021,$130.02,3057107,$130.91,$131.1,$129.09
04/06/2021,$131.43,4906642,$130.37,$131.99,$130.37
04/05/2021,$131.4,4316131,$128.47,$131.66,$128.23
04/01/2021,$127.65,4281660,$125.86,$127.66,$124.85
03/31/2021,$125.29,4160388,$124.247,$125.93,$124.15
03/30/2021,$124.64,4592512,$123.53,$125.385,$122.2818
03/29/2021,$123.46,3255974,$122.56,$124.67,$121.9
03/26/2021,$122.99,4274705,$123.87,$124.7199,$121.0238
03/25/2021,$123.48,4259288,$124.21,$124.28,$121.15
03/24/2021,$122.36,3673104,$125.277,$125.3,$122.31
03/23/2021,$124.39,3653238,$126.94,$127.33,$124.22
03/22/2021,$126.11,4851005,$124.66,$127.1,$124.64
03/19/2021,$124.19,8848346,$124.73,$125.71,$122.96
03/18/2021,$124.91,3835061,$125.375,$126.54,$124.82
03/17/2021,$127.3,3471786,$126.33,$128.02,$125.52
03/16/2021,$127.78,4433176,$125.8,$128.81,$124.84
03/15/2021,$125.63,5601115,$128.32,$128.57,$124.08
03/12/2021,$127.12,6122524,$126.57,$127.67,$124.68
03/11/2021,$125.99,8824488,$127.86,$130.2,$123.88
03/10/2021,$127.41,4027759,$128.43,$129.12,$126.06
03/09/2021,$126.31,6409488,$129.02,$129.84,$125.46
03/08/2021,$127.06,7416016,$124.09,$128.46,$123.85
03/05/2021,$124.68,7944302,$120.02,$125.35,$118.54
03/04/2021,$118.61,4884173,$119.19,$121.52,$117.41
03/03/2021,$118.84,5390215,$121.44,$121.94,$118.62
03/02/2021,$122.45,4797734,$123.9,$124.56,$122.42
03/01/2021,$123.57,5813819,$120.31,$123.93,$120.27
02/26/2021,$119.97,5117952,$119.75,$121.66,$118.88
02/25/2021,$120.89,11337270,$124.49,$125.34,$119.74
02/24/2021,$119.38,4424972,$117.72,$119.51,$116.77
02/23/2021,$119.22,6390227,$117.88,$119.65,$115.89
02/22/2021,$117.91,5138507,$119.15,$119.85,$117.4
02/19/2021,$120.1,4961134,$123.1,$123.7214,$119.4
02/18/2021,$123.04,6126292,$120.846,$123.24,$119.6
02/17/2021,$121.3,6108997,$121.89,$122.95,$120.83
02/16/2021,$122,4247536,$122.98,$123.3799,$121.38
02/12/2021,$123.68,2713023,$123.81,$124.05,$122.675
02/11/2021,$124.4,3085307,$125.43,$125.45,$123.46
02/10/2021,$124.49,2879980,$125.112,$125.66,$124.32
02/09/2021,$124.45,3342881,$125.92,$125.99,$124.045
02/08/2021,$126.1,5742639,$126.2,$126.26,$122.54
02/05/2021,$125.28,10319060,$129.02,$129.59,$124.55
02/04/2021,$130.6,7395974,$130.31,$130.85,$129.3732
02/03/2021,$129.37,3918351,$131.85,$132.65,$128.75
02/02/2021,$131.89,3455993,$128.63,$132.41,$128.065
02/01/2021,$128.42,4070209,$126.29,$129.35,$125.21
01/29/2021,$126.08,4597364,$126.56,$129.23,$125.37
01/28/2021,$127.77,5000209,$125.79,$129.6,$124.5
01/27/2021,$123.27,7023139,$129.69,$130,$122.45
01/26/2021,$131.41,3218974,$130.02,$132.71,$130
01/25/2021,$131.1,2892807,$130.75,$132.4,$129.6708
01/22/2021,$130.36,2501591,$130.44,$131.32,$129.12
01/21/2021,$130.4,2688341,$132.71,$132.71,$129.85
01/20/2021,$132.3,4230427,$130.12,$132.42,$129.5
01/19/2021,$129.85,4033823,$128.69,$130.43,$127.12
01/15/2021,$127.28,4741035,$124.75,$127.9,$124.75
01/14/2021,$124.69,6359743,$129.03,$130.42,$123.9
01/13/2021,$128.5,2917272,$129.14,$129.9,$128.45
01/12/2021,$128.69,5374573,$132.88,$133.4699,$127.67
01/11/2021,$132.93,3084163,$134,$135.54,$132.75
01/08/2021,$135.06,2951158,$133.26,$135.2,$132.23
01/07/2021,$133.19,4928104,$133.81,$135.45,$133.16
01/06/2021,$131.53,4485950,$130.72,$131.98,$129.61
01/05/2021,$131.85,2544524,$131.95,$132.24,$130.455
01/04/2021,$132.43,3433164,$134.3,$134.98,$130.46
12/31/2020,$134.85,2080626,$133.15,$135,$133.105
12/30/2020,$133.28,1673134,$133.52,$133.83,$132.51
12/29/2020,$133.14,1672539,$133.52,$133.97,$131.65
12/28/2020,$133,2569114,$134.23,$134.76,$131.4
12/24/2020,$132.92,901102,$132.78,$133.83,$132.59
12/23/2020,$132.23,2152440,$132.25,$132.87,$130.95
