Date,Close/Last,Volume,Open,High,Low,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash From Acquisitions & Divestitures,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash From (Repayment of) Debt,Cash From (Repurchase of) Equity,Other Financing Activities,Cash from Financing Activities,Net Cash Before Disc. Operations and FX,Change in Cash from Disc. Operations and Other,Net Cash Before FX,Effect of Foreign Exchange Rates,Net Changes in Cash
2018-06-06,59.84,6224100,59.26,59.85,59.11,-1358.6483516483513,381.13186813186815,1822.6043956043954,13.219780219780205,858.3076923076924,-196.26373626373626,2695.7032967032965,,43.93406593406593,2543.3736263736264,-844.7252747252747,458.5824175824176,-24.274725274725284,-149.13186813186815,-559.5494505494505,2842.131868131868,-4.520547945205479,2842.131868131868,24.560439560439562,2866.6923076923076
2018-06-07,60.64,14780110,62.0,62.65,60.22,-1288.5824175824173,381.4065934065934,1760.7802197802193,-8.989010989010922,844.6153846153846,-195.8131868131868,2780.8351648351645,,46.2967032967033,2631.3186813186812,-844.7362637362637,450.8791208791208,-23.263736263736263,-148.4065934065934,-565.5274725274726,2910.406593406593,-4.589041095890411,2910.406593406593,24.978021978021978,2935.3846153846152
2018-06-08,60.26,7030319,60.25,60.62,59.805,-1218.5164835164833,381.68131868131866,1698.9560439560437,-31.197802197802048,830.923076923077,-195.36263736263737,2865.9670329670325,,48.65934065934067,2719.263736263736,-844.7472527472528,443.1758241758241,-22.252747252747255,-147.6813186813187,-571.5054945054945,2978.6813186813188,-4.657534246575342,2978.6813186813188,25.395604395604398,3004.076923076923
2018-06-11,59.93,7334965,60.17,60.415,59.82,-1008.3186813186812,382.5054945054945,1513.4835164835167,-97.82417582417588,789.8461538461539,-194.01098901098902,3121.3626373626375,,55.74725274725276,2983.0989010989015,-844.7802197802198,420.065934065934,-19.21978021978022,-145.5054945054945,-589.4395604395604,3183.5054945054944,-4.863013698630136,3183.5054945054944,26.64835164835165,3210.1538461538466
2018-06-12,59.79,6956630,60.11,60.38,59.545,-938.2527472527472,382.7802197802198,1451.6593406593402,-120.03296703296701,776.1538461538462,-193.56043956043956,3206.4945054945056,,58.1098901098901,3071.0439560439563,-844.7912087912088,412.3626373626373,-18.20879120879121,-144.7802197802198,-595.4175824175825,3251.7802197802193,-4.931506849315069,3251.7802197802193,27.065934065934066,3278.8461538461543
2018-06-13,59.22,9674514,59.67,60.23,59.12,-868.1868131868123,383.05494505494505,1389.8351648351645,-142.24175824175813,762.4615384615386,-193.1098901098901,3291.6263736263736,,60.472527472527474,3158.989010989011,-844.8021978021978,404.6593406593406,-17.197802197802204,-144.05494505494505,-601.3956043956043,3320.054945054945,-5.0,3320.054945054945,27.483516483516485,3347.538461538462
2018-06-14,59.46,8258294,59.29,59.7,58.95,-798.1208791208783,383.3296703296703,1328.0109890109889,-164.4505494505495,748.7692307692308,-192.65934065934067,3376.7582417582416,,62.835164835164846,3246.934065934066,-844.8131868131868,396.9560439560439,-16.186813186813197,-143.32967032967034,-607.3736263736264,3388.32967032967,-5.068493150684931,3388.32967032967,27.9010989010989,3416.2307692307695
2018-06-15,59.86,13803810,59.87,59.95,58.92,-728.0549450549443,383.6043956043956,1266.1868131868132,-186.65934065934061,735.0769230769231,-192.2087912087912,3461.8901098901097,,65.19780219780219,3334.879120879121,-844.8241758241758,389.2527472527472,-15.175824175824175,-142.60439560439562,-613.3516483516484,3456.604395604395,-5.136986301369863,3456.604395604395,28.31868131868132,3484.923076923077
2018-06-18,59.2,6936311,59.31,59.37,58.92,-517.8571428571422,384.42857142857144,1080.7142857142853,-253.28571428571422,694.0,-190.85714285714286,3717.2857142857147,,72.28571428571428,3598.7142857142862,-844.8571428571429,366.1428571428571,-12.142857142857139,-140.42857142857144,-631.2857142857142,3661.4285714285706,-5.342465753424658,3661.4285714285706,29.57142857142857,3691.0
2018-06-19,58.7,7958117,58.28,58.735,57.85,-447.7912087912082,384.7032967032967,1018.8901098901097,-275.49450549450535,680.3076923076924,-190.4065934065934,3802.4175824175827,,74.64835164835165,3686.659340659341,-844.8681318681319,358.4395604395604,-11.131868131868131,-139.7032967032967,-637.2637362637363,3729.7032967032965,-5.410958904109589,3729.7032967032965,29.989010989010993,3759.6923076923076
