Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
2021-08-27,144.85,6274499,142.2,144.95,141.92,4597.79347826087,1926.1847826086957,4.0,38159.92391304348,30269.391304347828,1926.804347826087,-754.445652173913,457.42391304347825,73.8599120234604
2021-08-30,145.94,5263612,145.59,147.86,145.555,4602.782608695652,1934.8260869565217,4.0,38212.13043478261,30297.043478260868,1935.4782608695652,-755.5217391304348,538.1304347826085,74.30287390029324
2021-08-31,146.69,7820509,146.8,147.53,144.56,4604.445652173913,1937.7065217391305,4.0,38229.53260869565,30306.260869565216,1938.3695652173913,-755.8804347826087,565.032608695652,74.45052785923752
2021-09-01,146.45,6451408,146.84,148.1,146.22,4606.108695652174,1940.586956521739,4.0,38246.934782608696,30315.478260869564,1941.2608695652175,-756.2391304347826,591.9347826086955,74.5981818181818
2021-09-02,145.12,6007588,146.7,146.89,144.51,4607.771739130435,1943.4673913043478,4.02,38264.336956521736,30324.695652173912,1944.1521739130435,-756.5978260869565,618.836956521739,74.89990909090908
2021-09-03,144.63,5506586,145.12,145.99,144.2301,4609.434782608696,1946.3478260869565,4.04,38281.739130434784,30333.91304347826,1947.0434782608695,-756.9565217391304,645.7391304347825,75.20163636363635
2021-09-07,143.75,6362270,144.675,144.76,143.12,4616.086956521739,1957.8695652173913,4.12,38351.34782608696,30370.782608695652,1958.608695652174,-758.3913043478261,753.3478260869565,76.40854545454545
2021-09-08,142.52,5981277,143.36,143.62,141.49,4617.75,1960.75,4.14,38368.75,30380.0,1961.5,-758.75,780.25,76.71027272727271
2021-09-09,141.58,6190783,142.47,143.54,141.45,4619.413043478261,1963.6304347826087,4.16,38386.15217391304,30389.217391304348,1964.391304347826,-759.1086956521739,807.1521739130433,77.01199999999999
2021-09-10,142.68,6263271,143.13,146.0,142.54,4621.076086956522,1966.5108695652175,4.18,38403.55434782609,30398.434782608696,1967.2826086956522,-759.4673913043479,834.0543478260868,77.31372727272726
2021-09-13,143.41,4312803,144.02,144.73,142.03,4626.065217391304,1975.1521739130435,4.24,38455.760869565216,30426.08695652174,1975.9565217391305,-760.5434782608695,914.7608695652173,78.21890909090908
